<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.08.12	12:00:00	1502.71	1508.38	1500.52	1501.82	10718	0	25
2019.08.12	16:00:00	1501.82	1506.63	1499.73	1505.60	11895	0	23
2019.08.12	20:00:00	1505.60	1519.30	1505.21	1510.78	8738	0	24
2019.08.13	00:00:00	1510.75	1513.13	1509.55	1510.59	3431	0	24
2019.08.13	04:00:00	1510.59	1518.16	1509.51	1516.00	8371	0	23
2019.08.13	08:00:00	1516.00	1526.88	1515.48	1523.28	10524	0	23
2019.08.13	12:00:00	1523.28	1534.91	1515.76	1519.99	13230	0	23
2019.08.13	16:00:00	1519.99	1521.80	1479.72	1502.03	25056	0	23
2019.08.13	20:00:00	1502.03	1505.76	1496.24	1501.02	9464	0	23
2019.08.14	00:00:00	1501.72	1503.22	1499.95	1503.20	4256	0	26
2019.08.14	04:00:00	1503.17	1503.81	1494.06	1497.76	11054	0	23
2019.08.14	08:00:00	1497.76	1502.48	1496.57	1500.78	9670	0	23
2019.08.14	12:00:00	1500.78	1518.11	1499.60	1512.45	15319	0	23
2019.08.14	16:00:00	1512.40	1523.03	1505.84	1522.98	19712	0	23
2019.08.14	20:00:00	1522.98	1523.89	1509.14	1516.30	14816	0	23
2019.08.15	00:00:00	1515.88	1519.99	1514.84	1516.85	4495	0	24
2019.08.15	04:00:00	1516.79	1524.13	1516.59	1520.74	10736	0	23
2019.08.15	08:00:00	1520.73	1521.66	1507.86	1515.90	13110	0	23
2019.08.15	12:00:00	1515.90	1522.68	1508.77	1511.42	19649	0	23
2019.08.15	16:00:00	1511.52	1521.64	1509.75	1520.34	20398	0	24
2019.08.15	20:00:00	1520.34	1526.90	1518.10	1523.00	12392	0	24
2019.08.16	00:00:00	1522.86	1527.90	1520.46	1525.20	3861	0	26
2019.08.16	04:00:00	1525.10	1527.17	1516.73	1521.76	9290	0	23
2019.08.16	08:00:00	1521.76	1522.16	1510.24	1510.64	10714	0	23
2019.08.16	12:00:00	1510.65	1514.82	1505.52	1509.75	10351	0	25
2019.08.16	16:00:00	1509.84	1516.18	1503.67	1512.88	15357	0	23
2019.08.16	20:00:00	1512.88	1517.15	1510.91	1512.77	6923	0	26
2019.08.19	00:00:00	1512.45	1512.85	1507.64	1509.91	4152	0	25
2019.08.19	04:00:00	1509.91	1512.66	1504.98	1509.00	8021	0	23
2019.08.19	08:00:00	1509.00	1509.60	1498.72	1501.02	9893	0	23
2019.08.19	12:00:00	1500.95	1501.32	1493.14	1497.72	10188	0	25
2019.08.19	16:00:00	1497.74	1503.33	1495.68	1501.77	12928	0	24
2019.08.19	20:00:00	1501.72	1503.14	1493.48	1495.81	6797	0	25
2019.08.20	00:00:00	1495.60	1497.60	1492.88	1496.93	3487	0	29
2019.08.20	04:00:00	1496.92	1499.40	1494.28	1495.04	5664	0	23
2019.08.20	08:00:00	1494.99	1502.68	1494.99	1501.95	8113	0	24
2019.08.20	12:00:00	1501.96	1508.51	1501.56	1504.06	9366	0	23
2019.08.20	16:00:00	1504.06	1507.39	1501.31	1504.69	12187	0	23
2019.08.20	20:00:00	1504.69	1507.96	1504.48	1507.19	4637	0	25
2019.08.21	00:00:00	1506.91	1507.93	1504.72	1506.22	2340	0	26
2019.08.21	04:00:00	1506.22	1507.02	1501.86	1503.10	5178	0	24
2019.08.21	08:00:00	1503.10	1504.34	1496.38	1498.89	7649	0	24
2019.08.21	12:00:00	1498.89	1502.09	1498.10	1500.38	6909	0	23
2019.08.21	16:00:00	1500.38	1506.32	1499.58	1506.02	11020	0	23
2019.08.21	20:00:00	1506.02	1507.37	1499.97	1502.36	8541	0	23
2019.08.22	00:00:00	1501.53	1504.37	1500.98	1501.39	2226	0	26
2019.08.22	04:00:00	1501.40	1503.57	1499.43	1499.58	4747	0	25
2019.08.22	08:00:00	1499.57	1502.18	1497.65	1498.23	8232	0	27
2019.08.22	12:00:00	1498.23	1500.06	1492.38	1496.56	9172	0	24
2019.08.22	16:00:00	1496.58	1504.42	1496.58	1498.88	14496	0	24
2019.08.22	20:00:00	1498.88	1500.59	1497.76	1497.92	4734	0	24
2019.08.23	00:00:00	1497.80	1498.75	1495.61	1496.30	2513	0	28
2019.08.23	04:00:00	1496.31	1497.41	1493.66	1494.80	4702	0	23
2019.08.23	08:00:00	1494.80	1497.21	1493.42	1496.21	5224	0	25
2019.08.23	12:00:00	1496.21	1504.87	1494.63	1502.29	9753	0	23
2019.08.23	16:00:00	1502.29	1529.36	1501.59	1526.78	24340	0	23
2019.08.23	20:00:00	1526.80	1530.09	1525.18	1525.93	11370	0	23
2019.08.26	00:00:00	1535.30	1555.10	1535.30	1544.84	10701	0	23
2019.08.26	04:00:00	1544.80	1546.64	1538.01	1542.90	12642	0	23
2019.08.26	08:00:00	1542.90	1544.03	1524.96	1526.83	16518	0	23
2019.08.26	12:00:00	1526.77	1533.13	1525.55	1527.11	14018	0	24
2019.08.26	16:00:00	1527.11	1537.08	1527.11	1528.97	18658	0	23
2019.08.26	20:00:00	1528.96	1529.96	1526.16	1527.19	6926	0	24
2019.08.27	00:00:00	1526.86	1529.24	1526.46	1528.28	3268	0	29
2019.08.27	04:00:00	1528.33	1530.04	1525.58	1527.62	5890	0	24
2019.08.27	08:00:00	1527.63	1534.90	1527.59	1531.15	10350	0	23
2019.08.27	12:00:00	1531.15	1532.59	1528.69	1529.48	9054	0	24
2019.08.27	16:00:00	1529.48	1544.60	1528.30	1542.67	17887	0	24
2019.08.27	20:00:00	1542.66	1543.72	1537.25	1542.41	8045	0	26
2019.08.28	00:00:00	1541.78	1544.46	1540.73	1543.64	3603	0	24
2019.08.28	04:00:00	1543.65	1544.56	1531.82	1535.37	10746	0	24
2019.08.28	08:00:00	1535.37	1543.42	1535.27	1540.00	10511	0	24
2019.08.28	12:00:00	1540.00	1546.76	1539.91	1541.38	11008	0	24
2019.08.28	16:00:00	1541.38	1544.67	1533.64	1536.60	15147	0	23
2019.08.28	20:00:00	1536.60	1542.58	1536.30	1539.03	7172	0	24
2019.08.29	00:00:00	1539.31	1540.06	1537.64	1539.78	2516	0	24
