<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2026.02.26	16:00:00	49594.50	49829.00	49225.53	49252.97	51987	0	500
2026.02.26	20:00:00	49251.48	49557.60	49236.57	49307.72	31262	0	500
2026.02.27	00:00:00	49298.65	49298.65	49169.60	49217.60	9722	0	500
2026.02.27	04:00:00	49218.10	49298.60	49216.10	49258.10	6136	0	500
2026.02.27	08:00:00	49259.10	49360.60	49216.10	49293.60	11123	0	500
2026.02.27	12:00:00	49293.10	49298.10	48891.60	48998.10	19784	0	500
2026.02.27	16:00:00	48998.60	49085.60	48665.10	48835.50	49377	0	500
2026.02.27	20:00:00	48835.00	48992.00	48758.50	48877.00	31270	0	500
2026.03.02	00:00:00	48391.55	48666.00	48330.00	48645.00	18217	0	500
2026.03.02	04:00:00	48645.50	48669.50	48447.00	48450.00	14208	0	500
2026.03.02	08:00:00	48449.00	48469.50	48111.00	48375.00	25963	0	500
2026.03.02	12:00:00	48374.50	48525.00	48354.50	48406.00	20128	0	500
2026.03.02	16:00:00	48407.50	48989.66	48355.00	48951.35	51449	0	500
2026.03.02	20:00:00	48950.35	49063.09	48759.02	48867.48	33482	0	500
2026.03.03	00:00:00	48848.10	48869.55	48650.50	48653.50	13021	0	500
2026.03.03	04:00:00	48654.00	48667.00	48485.00	48511.50	24310	0	500
2026.03.03	08:00:00	48512.50	48544.00	48073.00	48093.05	31653	0	500
2026.03.03	12:00:00	48094.05	48247.00	47892.00	48014.00	37657	0	500
2026.03.03	16:00:00	48015.50	48349.56	47618.00	48302.66	64743	0	500
2026.03.03	20:00:00	48303.16	48693.37	48299.65	48427.98	45499	0	500
2026.03.04	00:00:00	48414.40	48537.50	48298.00	48367.50	22812	0	500
2026.03.04	04:00:00	48369.50	48401.00	48234.50	48305.00	33465	0	500
2026.03.04	08:00:00	48305.50	48458.50	48210.00	48453.00	30460	0	500
2026.03.04	12:00:00	48452.50	48685.50	48395.50	48628.50	31122	0	500
2026.03.04	16:00:00	48629.00	48854.43	48348.50	48825.14	52379	0	500
2026.03.04	20:00:00	48826.14	48845.50	48685.63	48749.19	28933	0	500
2026.03.05	00:00:00	48716.10	48834.00	48581.00	48610.00	13927	0	500
2026.03.05	04:00:00	48611.00	48659.50	48509.00	48535.00	21772	0	500
2026.03.05	08:00:00	48535.50	48825.00	48429.00	48655.00	30525	0	500
2026.03.05	12:00:00	48656.00	48706.00	48368.50	48379.00	25471	0	500
2026.03.05	16:00:00	48378.50	48503.00	47750.34	47771.65	61132	0	500
2026.03.05	20:00:00	47770.65	47960.50	47570.94	47899.86	46926	0	500
2026.03.06	00:00:00	47889.50	48089.50	47887.50	48037.00	13354	0	500
2026.03.06	04:00:00	48036.50	48094.00	47994.50	48056.50	12629	0	500
2026.03.06	08:00:00	48057.00	48070.50	47742.00	47782.50	22315	0	500
2026.03.06	12:00:00	47783.00	47900.50	47259.00	47304.50	35049	0	500
2026.03.06	16:00:00	47297.00	47521.00	46997.00	47328.00	65690	0	500
2026.03.06	20:00:00	47326.50	47573.50	47318.50	47452.05	45326	0	500
2026.03.09	00:00:00	47115.00	47115.00	46362.00	46365.00	26290	0	500
2026.03.09	04:00:00	46365.05	46702.00	46299.00	46684.00	26974	0	500
2026.03.09	08:00:00	46683.50	47131.00	46565.50	47006.00	36870	0	500
2026.03.09	12:00:00	47005.00	47088.00	46701.00	46794.00	41811	0	500
2026.03.09	16:00:00	46790.00	47265.30	46607.50	47021.44	57520	0	500
2026.03.09	20:00:00	47023.94	47874.21	47020.43	47685.54	33097	0	500
2026.03.10	00:00:00	47712.35	47722.80	47487.75	47671.75	24485	0	500
2026.03.10	04:00:00	47671.25	47679.25	47460.75	47641.75	22219	0	500
